   step,          time,        volume,    temperature,  pressure,     ekinet,    epotential,    energy,      density
           78,  0.7800E-01,  0.8664E+04,  0.7317E+03, -0.3849E+05,  0.2019E+04, -0.1820E+04,  0.1984E+03,  0.1067E+01
           79,  0.7900E-01,  0.8663E+04,  0.7624E+03, -0.4098E+05,  0.2104E+04, -0.1918E+04,  0.1851E+03,  0.1067E+01
           80,  0.8000E-01,  0.8661E+04,  0.6892E+03, -0.2733E+05,  0.1902E+04, -0.1691E+04,  0.2111E+03,  0.1067E+01
           81,  0.8100E-01,  0.8657E+04,  0.6322E+03, -0.1078E+04,  0.1744E+04, -0.1509E+04,  0.2351E+03,  0.1068E+01
           82,  0.8200E-01,  0.8654E+04,  0.6857E+03,  0.2783E+05,  0.1892E+04, -0.1672E+04,  0.2197E+03,  0.1068E+01
           83,  0.8300E-01,  0.8650E+04,  0.7650E+03,  0.4412E+05,  0.2111E+04, -0.1920E+04,  0.1906E+03,  0.1069E+01
           84,  0.8400E-01,  0.8649E+04,  0.7409E+03,  0.3727E+05,  0.2044E+04, -0.1849E+04,  0.1949E+03,  0.1069E+01
           85,  0.8500E-01,  0.8648E+04,  0.6510E+03,  0.1130E+05,  0.1796E+04, -0.1572E+04,  0.2243E+03,  0.1069E+01
           86,  0.8600E-01,  0.8649E+04,  0.6418E+03, -0.1844E+05,  0.1771E+04, -0.1545E+04,  0.2256E+03,  0.1069E+01
           87,  0.8700E-01,  0.8649E+04,  0.7270E+03, -0.3780E+05,  0.2006E+04, -0.1814E+04,  0.1915E+03,  0.1069E+01
           88,  0.8800E-01,  0.8648E+04,  0.7650E+03, -0.4103E+05,  0.2111E+04, -0.1935E+04,  0.1751E+03,  0.1069E+01
           89,  0.8900E-01,  0.8646E+04,  0.6939E+03, -0.2807E+05,  0.1914E+04, -0.1714E+04,  0.2000E+03,  0.1069E+01
           90,  0.9000E-01,  0.8642E+04,  0.6300E+03, -0.2243E+04,  0.1738E+04, -0.1512E+04,  0.2263E+03,  0.1070E+01
           91,  0.9100E-01,  0.8638E+04,  0.6783E+03,  0.2694E+05,  0.1871E+04, -0.1658E+04,  0.2131E+03,  0.1070E+01
           92,  0.9200E-01,  0.8635E+04,  0.7623E+03,  0.4428E+05,  0.2103E+04, -0.1921E+04,  0.1827E+03,  0.1071E+01
           93,  0.9300E-01,  0.8633E+04,  0.7456E+03,  0.3860E+05,  0.2057E+04, -0.1873E+04,  0.1844E+03,  0.1071E+01
           94,  0.9400E-01,  0.8632E+04,  0.6538E+03,  0.1307E+05,  0.1804E+04, -0.1590E+04,  0.2138E+03,  0.1071E+01
           95,  0.9500E-01,  0.8633E+04,  0.6360E+03, -0.1707E+05,  0.1755E+04, -0.1537E+04,  0.2174E+03,  0.1071E+01
           96,  0.9600E-01,  0.8633E+04,  0.7194E+03, -0.3717E+05,  0.1985E+04, -0.1801E+04,  0.1837E+03,  0.1071E+01
           97,  0.9700E-01,  0.8631E+04,  0.7653E+03, -0.4110E+05,  0.2112E+04, -0.1948E+04,  0.1640E+03,  0.1071E+01
           98,  0.9800E-01,  0.8629E+04,  0.6991E+03, -0.2875E+05,  0.1929E+04, -0.1742E+04,  0.1868E+03,  0.1071E+01
           99,  0.9900E-01,  0.8625E+04,  0.6294E+03, -0.3350E+04,  0.1736E+04, -0.1522E+04,  0.2148E+03,  0.1072E+01
          100,  0.1000E+00,  0.8621E+04,  0.6707E+03,  0.2601E+05,  0.1851E+04, -0.1647E+04,  0.2039E+03,  0.1072E+01
