  step,            time,            ax,            ay,            az,            bx,            by,            bz,            cx,            cy,            cz,             a,             b,             c
           64,  0.630000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           65,  0.640000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           66,  0.650000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           67,  0.660000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           68,  0.670000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           69,  0.680000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           70,  0.690000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           71,  0.700000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           72,  0.710000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           73,  0.720000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           74,  0.730000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           75,  0.740000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           76,  0.750000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           77,  0.760000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           78,  0.770000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           79,  0.780000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           80,  0.790000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           81,  0.800000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           82,  0.810000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           83,  0.820000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           84,  0.830000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           85,  0.840000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           86,  0.850000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           87,  0.860000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           88,  0.870000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           89,  0.880000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           90,  0.890000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           91,  0.900000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           92,  0.910000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           93,  0.920000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           94,  0.930000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           95,  0.940000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           96,  0.950000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           97,  0.960000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           98,  0.970000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           99,  0.980000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
          100,  0.990000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
