       step,          time,       molecule,  site,   Z,  type,       mass,         charge,          x,             y,             z,             fx,            fy,            fz,            vx,            vy,            vz
              1,  0.900000E-02,      20,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.795107E+01, -0.470369E+01, -0.666532E+01,  0.378061E+01, -0.377613E+01, -0.358716E+01,  0.789835E+01,  0.141055E+02, -0.153615E+01
              1,  0.900000E-02,      20,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.707124E+01, -0.415921E+01, -0.557047E+01, -0.615485E+01, -0.159665E+01, -0.568854E+01, -0.296023E+02, -0.160578E+02,  0.948324E+01
              1,  0.900000E-02,      21,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00,  0.416412E+01,  0.813824E+01, -0.965404E+01,  0.117341E+02, -0.110736E+01, -0.380519E+01,  0.265575E+01,  0.514106E+01,  0.882910E+00
              1,  0.900000E-02,      21,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.360107E+01,  0.814315E+01, -0.888006E+01, -0.927443E+01,  0.168283E+01,  0.888118E+01,  0.981848E+01,  0.136893E+02,  0.840950E+01
              1,  0.900000E-02,      21,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.466802E+01,  0.897996E+01, -0.953175E+01, -0.312010E+01, -0.260410E+01, -0.552585E+01,  0.877273E+01,  0.117545E+02,  0.907396E+01
              1,  0.900000E-02,      22,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.184690E+01,  0.395489E+00, -0.958441E+01, -0.138370E+02,  0.162135E+02,  0.152879E+02,  0.388344E+01,  0.241746E+01,  0.940136E+01
              1,  0.900000E-02,      22,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.255905E+01,  0.868457E+00, -0.903471E+01,  0.231650E+02, -0.169262E+02, -0.120326E+02,  0.256182E+01,  0.751358E+01,  0.676650E+01
              1,  0.900000E-02,      22,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.108039E+01,  0.351829E+00, -0.895208E+01, -0.771231E+01,  0.174917E+01, -0.686698E+01,  0.515808E+01,  0.876997E+01,  0.437735E+01
              1,  0.900000E-02,      23,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00,  0.417728E+01, -0.427449E+01, -0.128355E+01, -0.907222E+01, -0.564391E+01,  0.700085E+01,  0.461564E+01,  0.275428E+01,  0.277289E+01
              1,  0.900000E-02,      23,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.439345E+01, -0.382489E+01, -0.212789E+01,  0.281718E+01,  0.500492E+01,  0.892250E+00,  0.107334E+02, -0.502180E+01,  0.129417E+02
              1,  0.900000E-02,      23,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.321074E+01, -0.443184E+01, -0.140778E+01,  0.321352E+01, -0.250368E+01, -0.166030E+01, -0.143736E+01,  0.391497E+01,  0.114055E+01
              1,  0.900000E-02,      24,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.950187E+01, -0.121583E+01,  0.697101E+00,  0.429967E+01, -0.275815E+01, -0.126557E+02,  0.447815E+01,  0.598791E+01,  0.561072E+01
              1,  0.900000E-02,      24,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.910911E+01, -0.148611E+01, -0.163747E+00, -0.363156E+01,  0.299479E+01,  0.169832E+01,  0.602008E+01,  0.470248E+01,  0.844688E+01
              1,  0.900000E-02,      24,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.870067E+01, -0.130373E+01,  0.125185E+01, -0.731520E+00,  0.404633E+01,  0.751579E+01,  0.619746E+01,  0.660207E+01,  0.124200E+02
              1,  0.900000E-02,      25,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.168516E+01, -0.880798E+01, -0.664590E+01,  0.207838E+02,  0.126452E+02, -0.342969E+01,  0.639451E+01,  0.628482E+01,  0.568247E+01
              1,  0.900000E-02,      25,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.201805E+01, -0.848577E+01, -0.749955E+01, -0.448909E+01,  0.102800E+01, -0.751478E+01,  0.135588E+01,  0.692289E+01, -0.113649E+02
              1,  0.900000E-02,      25,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.234819E+01, -0.946559E+01, -0.645194E+01, -0.178410E+02, -0.133346E+02,  0.868279E+01,  0.171560E+02,  0.601618E+01, -0.474609E+01
              1,  0.900000E-02,      26,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.764376E+01, -0.131079E+01,  0.831252E+01,  0.119643E+02,  0.205115E+02, -0.234405E+02,  0.890948E+01,  0.491642E+01,  0.455583E+01
